,NestID,Length,TotalLength,ItemNumber,RemainingLength
21802,9018,3035,6070,00001,1930.0
2299,4218,2657,7971,00001,5029.0
24070,388,369,8000,00001,0.0
38104,7195,1405,13000,00001,0.0
51841,173,1117,1117,00001,4883.0
26706,1223,1907,13000,00001,0.0
35277,2707,848,7996,00001,4.0
10644,2259,2010,4614,00001,0.0
48544,8652,3121,7888,00001,112.0
30853,3432,943,2600,00001,0.0
42811,8589,1433,10795,00001,2205.0
45334,10249,1034,8000,00001,0.0
37918,1549,1589,3236,0000120,2764.0
38926,8547,900,5327,00002,0.0
8117,5309,593,7998,00002,2.0
10789,3145,2158,2158,00002,3842.0
38540,5729,2625,7998,00002,2.0
41680,120,2990,7890,00002,110.0
35112,9829,1585,7991,00002,9.0
25410,1150,2819,9825,00002,0.0
48344,8650,385,2735,00002,29.0
22906,3366,2700,5400,00002,2600.0
10588,2261,2010,12825,00002,175.0
53098,9303,2115,5833,00002,617.0
52098,10437,350,4036,00002,40.0
45304,10254,1334,8000,00002,0.0
46802,23,700,13000,00003,0.0
28889,2850,7950,7950,00003,50.0
22907,3366,2700,5400,00003,2600.0
45749,9297,402,12998,00003,2.0
43424,204,1493,12993,00003,7.0
1312,7057,1732,13000,00003,0.0
45293,10249,1412,8000,00003,0.0
35113,9829,1585,7991,00003,9.0
38544,5731,3075,7911,00003,89.0
10634,2215,2153,8000,00003,0.0
41542,10764,3894,7659,00003,341.0
47139,4721,2135,2135,00003,5865.0
49884,162,725,5974,00003,26.0
14200,1290,2215,13000,00003,0.0
36847,2391,705,13000,00003,0.0
860,9573,2575,12769,00003,231.0
42816,8583,600,2191,00003,52.0
33495,1472,1829,3082,00003,6.0
27897,521,1742,6561,00003,6439.0
33553,1485,4908,12996,00004,4.0
38952,8566,2444,12128,00004,872.0
47134,4716,2135,6473,00004,1527.0
844,9570,495,5408,00004,-9.09e-13
45286,10248,1412,8000,00004,0.0
49880,161,725,6000,00004,0.0
22904,3365,2700,5400,00004,2600.0
38582,5746,9106,12834,00004,166.0
10495,2244,1754,1754,00004,346.0
53097,9303,3368,5833,00004,617.0
35114,9829,1585,7991,00004,9.0
50790,891,2978,3819,00004,9181.0
36844,2390,706,2786,00004,0.0
27896,521,1811,6561,00004,6439.0
34123,5459,9775,9775,00005,3225.0
33497,1472,453,3082,00005,6.0
35111,9828,1585,7992,00005,8.0
38583,5749,8387,8387,00005,4613.0
22905,3365,2700,5400,00005,2600.0
30617,4596,2069,2069,00005,10931.0
25417,1151,2284,13000,00005,0.0
41678,119,2490,7970,00005,30.0
46830,29,850,12968,00005,32.0
36874,2393,735,13000,00005,0.0
38934,8557,553,10716,00005,0.0
31577,5167,1669,11572,00005,1428.0
1509,7054,418,11856,00005,0.0
45303,10254,1335,8000,00005,0.0
50786,890,2978,12920,00005,80.0
40815,5131,6939,7802,00006,5198.0
29010,2882,11276,11276,00006,1724.0
45305,10254,1334,8000,00006,0.0
30615,4595,2069,4138,00006,223.0
33506,1478,3595,12656,00006,344.0
31875,2481,1289,1289,00006,1355.0
14391,1289,1000,13000,00006,0.0
42423,6826,9238,9238,00006,3762.0
49885,164,725,5780,00006,220.0
27496,7614,1624,13000,00006,0.0
52551,37,1248,3199,00006,2801.0
35109,9827,1585,7994,00006,6.0
43426,205,8800,12991,00006,9.0
50793,892,2140,5735,00006,3548.0
21796,9006,3041,6081,00006,1919.0
36309,10592,740,8000,00006,0.0
42606,9137,691,13000,00006,0.0
34125,5461,7150,7150,00006,5850.0
45709,9292,3368,10097,00006,2903.0
38949,8562,1002,12860,00006,140.0
45710,9292,3368,10097,00007,2903.0
36308,10592,757,8000,00007,0.0
21790,8980,518,8000,00007,0.0
34108,5447,550,13000,00007,0.0
25308,3023,5074,12194,00007,806.0
42603,9137,752,13000,00007,0.0
45287,10248,1412,8000,00007,0.0
38534,5728,1844,8000,00007,0.0
49886,164,725,5780,00007,220.0
16053,4813,12800,12800,00007,200.0
40813,5130,6939,12338,00007,662.0
52576,537,3502,3502,00007,2498.0
36895,2399,4680,12978,00007,22.0
9688,1875,2195,8000,00007,0.0
29009,2881,11276,11276,00007,1724.0
33550,1484,989,12999,00007,1.0
3351,3858,10501,10501,00007,2499.0
43434,208,9398,9398,00007,3602.0
30577,4561,3044,6088,00007,1912.0
22902,3364,2700,5400,00007,2600.0
33221,11057,6254,6254,00007,1746.0
19498,640,1650,13000,00007,0.0
21806,9032,1493,12907,00008,93.0
41679,119,2490,7970,00008,30.0
16052,4812,12800,12800,00008,200.0
23293,8427,704,8000,00008,0.0
36937,2401,1256,12561,00008,439.0
42607,9137,691,13000,00008,0.0
9761,1917,6550,6550,00008,1450.0
1388,7064,1884,13000,00008,0.0
30472,4599,1809,3618,00008,9382.0
22903,3364,2700,5400,00008,2600.0
27626,7575,790,1580,00008,716.0
22171,8096,621,13000,00008,0.0
3350,3857,10501,10501,00008,2499.0
38535,5728,1695,8000,00008,0.0
33219,11055,6289,6289,00008,1711.0
35887,10834,358,3700,00008,0.0
45706,9291,3368,10104,00008,2896.0
6339,8830,363,8000,00008,0.0
11849,6674,6476,12997,00008,3.0
42388,6831,507,2028,00008,5448.0
39202,3642,2775,5550,00008,2450.0
38084,7173,9919,9919,00008,3081.0
29000,2874,7518,13000,00008,0.0
43432,207,9398,12816,00008,184.0
45288,10248,1412,8000,00008,0.0
34124,5460,7150,7150,00008,5850.0
33537,1482,3568,13000,00008,0.0
40808,5127,625,3223,00008,2.0
29011,2884,10776,10776,00009,2224.0
50794,892,451,5735,00009,3548.0
29828,2625,1985,13000,00009,0.0
42380,6814,507,7111,00009,889.0
22900,3362,2700,6825,00009,1175.0
22177,8105,3549,12649,00009,351.0
52578,539,2884,2884,00009,3116.0
3349,3856,10501,10501,00009,2499.0
38085,7174,9919,9919,00009,3081.0
16051,4811,12800,12800,00009,200.0
20021,2322,4618,4618,00009,3382.0
27627,7575,790,1580,00009,716.0
33512,1479,2850,11311,00009,1689.0
37291,7766,1690,13000,00009,0.0
43462,199,4490,7980,00009,20.0
44067,1020,489,2194,00009,3806.0
35084,9834,3718,7436,00009,564.0
45707,9291,3368,10104,00009,2896.0
9760,1913,3625,7250,00009,750.0
31970,10990,1497,8000,00009,0.0
24936,6013,3090,12978,00009,22.0
45302,10253,1329,5210,00009,0.0
14398,1296,2995,11980,00009,1020.0
49882,162,728,5974,00009,26.0
22898,3361,2700,6825,00010,1175.0
35085,9834,3718,7436,00010,564.0
51825,178,1132,5751,00010,249.0
24916,6009,2680,6324,00010,1676.0
25359,1139,1389,13000,00010,0.0
49883,162,728,5974,00010,26.0
20020,2321,4618,6533,00010,1467.0
30625,4593,628,628,00010,2363.0
45708,9291,3368,10104,00010,2896.0
50787,890,2978,12920,00010,80.0
33555,1486,5800,11320,00010,1680.0
9714,1883,5025,7977,00010,23.0
45292,10249,1427,8000,00010,0.0
40848,5129,625,12990,00010,10.0
16050,4810,12800,12800,00010,200.0
44088,1023,505,13000,00010,0.0
41137,10695,331,5224,00010,0.0
29013,2886,10500,10500,00010,2500.0
42601,9137,1492,13000,00010,0.0
36936,2399,1256,12978,00010,22.0
1315,7059,1884,13000,00010,0.0
3340,3837,6065,12705,00010,295.0
37978,7168,6360,12720,00010,280.0
26829,1760,2350,4700,00010,104.0
46785,22,750,13000,00010,0.0
44897,10218,494,8000,00011,0.0
23140,3748,483,3950,00011,0.0
45703,9290,3368,10104,00011,2896.0
11854,6675,5455,12993,00011,7.0
41544,10765,2240,7324,00011,676.0
3348,3855,10501,10501,00011,2499.0
37979,7168,6360,12720,00011,280.0
16055,4815,10275,12350,00011,650.0
301,7937,1488,8000,00011,0.0
21235,8505,2966,7998,00011,2.0
9725,1897,3469,7923,00011,77.0
31746,2503,493,4600,00011,0.0
35082,9833,3718,7436,00011,564.0
37706,1361,460,2569,00011,1.0
24528,2796,374,13000,00011,0.0
53351,10960,417,417,00011,2973.0
41453,10405,1596,7998,00011,2.0
42608,9137,599,13000,00011,0.0
10563,2209,2119,8000,00011,0.0
51823,175,718,6000,00011,0.0
4691,8779,5452,5452,00011,7548.0
22896,3360,2700,6825,00011,1175.0
21795,9003,3045,6092,00011,1908.0
2570,4198,3185,7753,00011,247.0
33562,1489,3584,3584,00011,9416.0
40829,5117,625,8000,00011,0.0
44103,1025,824,13000,00011,0.0
23992,411,2805,12998,00011,2.0
50788,890,2978,12920,00011,80.0
33823,10492,242,5773,00012,0.0
3352,3859,6640,10449,00012,2551.0
29016,2888,4717,8867,00012,4133.0
22176,8101,2611,13000,00012,0.0
48952,10236,1435,7175,00012,825.0
21782,8978,303,8000,00012,0.0
52574,535,3533,3533,00012,2467.0
21337,8308,392,8000,00012,0.0
24896,6001,2680,7986,00012,14.0
16049,4809,12800,12800,00012,200.0
40836,5119,574,8000,00012,0.0
33485,1470,2244,5472,00012,0.0
42629,9149,3105,8390,00012,4610.0
41677,119,2990,7970,00012,30.0
50776,887,2425,4024,00012,2.0
288,7933,956,8000,00012,0.0
44083,1023,590,13000,00012,0.0
28691,1675,1300,12995,00012,5.0
45713,9293,3189,6550,00012,6450.0
52549,40,1128,2842,00012,3158.0
25546,1144,3459,12943,00012,57.0
40220,3679,10500,12903,00012,97.0
29064,11145,2620,7855,00012,145.0
42422,6825,9799,9799,00012,3201.0
10877,3202,457,13000,00012,0.0
29823,2641,11275,11275,00012,1725.0
35083,9833,3718,7436,00012,564.0
36934,2398,1256,12994,00012,6.0
51824,175,644,6000,00012,0.0
41547,10768,6335,6335,00012,1665.0
34118,5452,9007,12782,00013,218.0
45301,10251,1427,7940,00013,60.0
28606,1675,2948,12995,00013,5.0
29067,11163,2620,4820,00013,8180.0
29822,2640,11275,11275,00013,1725.0
52575,536,3533,3533,00013,2467.0
37337,7792,11300,11300,00013,1700.0
35080,9832,3718,7436,00013,564.0
45704,9290,3368,10104,00013,2896.0
37710,1362,625,2292,00013,18.0
22028,8101,2500,13000,00013,0.0
37976,7166,6368,12736,00013,264.0
42418,6819,11275,12514,00013,486.0
21338,8308,392,8000,00013,0.0
16056,4817,12171,12171,00013,829.0
21791,8981,2275,8000,00013,0.0
40219,3678,10500,12952,00013,48.0
33546,1484,5800,12999,00013,1.0
50204,6350,397,1082,00013,7588.0
22894,3359,2700,6825,00013,1175.0
36931,2397,1256,12995,00013,5.0
3339,3837,6640,12705,00013,295.0
9716,1893,1369,7972,00013,28.0
42630,9149,3105,8390,00013,4610.0
24897,6001,2680,7986,00013,14.0
14210,1295,2995,11980,00013,1020.0
48953,10236,1435,7175,00014,825.0
36929,2395,1189,13000,00014,0.0
24878,5997,2680,8000,00014,0.0
32094,11016,5740,5740,00014,2260.0
37977,7166,6368,12736,00014,264.0
33561,1488,4546,9446,00014,3554.0
43437,210,4300,4300,00014,8700.0
29815,2627,5045,12997,00014,3.0
45705,9290,3368,10104,00014,2896.0
35081,9832,3718,7436,00014,564.0
28906,2866,3325,6650,00014,1350.0
42413,6817,11275,12986,00014,14.0
49805,164,3250,5780,00014,220.0
22892,3358,2700,6846,00014,1154.0
31017,10545,262,8000,00014,0.0
37336,7791,11300,11300,00014,1700.0
31256,1979,4036,4036,00014,3964.0
42625,9148,3105,12420,00014,580.0
16048,4808,12800,12800,00014,200.0
52553,39,1241,5802,00014,198.0
21339,8308,392,8000,00014,0.0
22030,8102,2378,13000,00014,0.0
34095,5444,400,13000,00014,0.0
24912,6006,2990,7680,00015,320.0
10744,3161,493,8000,00015,0.0
29065,11145,2620,7855,00015,145.0
36925,2393,1189,13000,00015,0.0
41875,553,3213,12988,00015,12.0
45696,9289,3368,12066,00015,934.0
22040,8106,2394,5448,00015,7552.0
28603,1673,856,13000,00015,0.0
35078,9831,3718,7436,00015,564.0
29825,2643,7617,7617,00015,5383.0
28909,2867,3325,6650,00015,1350.0
42421,6822,10867,10867,00015,2133.0
22890,3357,2700,6846,00015,1154.0
49804,163,3250,5895,00015,105.0
9774,1926,3501,4889,00015,8111.0
40215,3677,3194,12997,00015,3.0
43393,202,1493,13000,00015,0.0
34122,5458,9775,9775,00015,3225.0
42626,9148,3105,12420,00015,580.0
19985,2286,334,8000,00015,0.0
41617,110,800,8000,00015,0.0
8263,7536,2888,7910,00015,90.0
3337,3833,6769,12993,00015,7.0
37335,7790,11300,11300,00015,1700.0
40847,5121,950,7993,00015,7.0
19105,758,1326,3964,00015,8.0
42768,8587,1433,12897,00015,103.0
38081,7170,9921,9921,00015,3079.0
21340,8308,392,8000,00015,0.0
19096,754,2021,4042,00016,0.0
27208,1222,750,13000,00016,0.0
42414,6818,7150,12867,00016,133.0
32510,10628,1344,8000,00016,0.0
49791,160,399,6000,00016,0.0
51816,175,1014,6000,00016,0.0
8310,7548,2888,13000,00016,0.0
40223,3680,6375,12750,00016,250.0
44122,1032,2693,4862,00016,8138.0
35110,9827,1585,7994,00016,6.0
24514,2765,817,7798,00016,202.0
34109,5447,550,13000,00016,0.0
42627,9148,3105,12420,00016,580.0
1698,7053,438,4700,00016,8300.0
11821,6668,9913,9913,00016,3087.0
21673,8975,493,5904,00016,96.0
16047,4807,12800,12800,00016,200.0
36926,2393,1189,13000,00016,0.0
45697,9289,3368,12066,00016,934.0
28604,1674,8372,13000,00016,0.0
41622,117,3025,8000,00016,0.0
37334,7789,11300,11300,00016,1700.0
29061,11144,2620,7860,00016,140.0
22029,8102,2398,13000,00016,0.0
22888,3356,2700,6846,00016,1154.0
3359,3838,7274,12674,00016,326.0
28908,2867,3325,6650,00016,1350.0
9768,1925,3501,12978,00016,22.0
9769,1925,3501,12978,00017,22.0
3358,3832,3891,12996,00017,4.0
1325,7067,1791,7407,00017,5593.0
5966,8839,789,8000,00017,0.0
19112,768,1700,4900,00017,8100.0
38088,7177,9121,9121,00017,3879.0
11820,6667,9913,9913,00017,3087.0
45698,9289,3368,12066,00017,934.0
41640,134,3650,7275,00017,725.0
16037,4794,8155,12998,00017,2.0
44116,1029,2998,11899,00017,1101.0
35106,9824,1585,8000,00017,0.0
29833,2630,7617,12667,00017,333.0
27215,1229,749,11576,00017,1424.0
22032,8103,2920,12998,00017,2.0
34104,5446,550,13000,00017,0.0
49790,160,486,6000,00017,0.0
28694,1677,8746,12730,00017,270.0
42628,9148,3105,12420,00017,580.0
42769,8587,1433,12897,00017,103.0
40837,5120,950,8000,00017,0.0
28911,2868,3325,6650,00017,1350.0
36869,2393,3914,13000,00017,0.0
29062,11144,2620,7860,00017,140.0
37759,1562,697,8293,00017,3230.0
24911,6006,4690,7680,00017,320.0
51817,176,790,5996,00017,4.0
16054,4814,12375,12375,00018,625.0
45691,9288,3368,12300,00018,36.0
42403,6815,1493,11214,00018,0.0
42770,8587,1433,12897,00018,103.0
51822,179,1594,1594,00018,4406.0
41638,133,3650,7300,00018,700.0
9770,1925,3501,12978,00018,22.0
5967,8839,789,8000,00018,0.0
39219,3647,7159,12704,00018,296.0
10320,1748,761,3273,00018,4727.0
42616,9141,2922,12994,00018,6.0
38089,7178,9121,9121,00018,3879.0
24909,6005,4690,7680,00018,320.0
37289,7765,425,13000,00018,0.0
29702,2625,1993,13000,00018,0.0
36932,2397,1256,12995,00018,5.0
19913,6100,7402,7402,00018,5598.0
28910,2868,3325,6650,00018,1350.0
44117,1029,2998,11899,00018,1101.0
22883,3352,2700,7594,00018,406.0
20136,2287,376,8000,00018,0.0
49802,162,487,5974,00018,26.0
1323,7065,1662,13000,00018,0.0
35101,9821,1585,8000,00018,0.0
27214,1228,749,12735,00018,265.0
53285,6892,295,842,00019,4481.0
37315,7775,10325,12780,00019,220.0
11815,6663,8079,11945,00019,1055.0
24906,6003,4900,7890,00019,110.0
49801,162,611,5974,00019,26.0
29830,2626,5045,12997,00019,3.0
22853,3333,2700,7967,00019,33.0
9765,1924,3501,11485,00019,7.0
39215,3645,1768,12915,00019,85.0
42771,8587,1433,12897,00019,103.0
41639,133,3650,7300,00019,700.0
10850,3158,355,2335,00019,0.0
42621,9147,3105,12420,00019,580.0
40838,5120,950,8000,00019,0.0
38381,1524,1762,13000,00019,0.0
37983,7186,9121,9121,00019,3879.0
21769,9032,1319,12907,00019,93.0
34091,5444,550,13000,00019,0.0
19097,755,400,4036,00019,0.0
6376,8850,3040,7999,00019,1.0
42499,7652,489,6000,00019,0.0
44112,1028,2998,11992,00019,1008.0
1390,7065,1732,13000,00019,0.0
36933,2397,1256,12995,00019,5.0
19912,6099,7402,7402,00019,5598.0
3347,3850,10504,10504,00019,2496.0
30600,4554,2796,8000,00019,0.0
27213,1226,749,12984,00019,16.0
45692,9288,3368,12300,00019,36.0
28697,1678,5400,11950,00019,1050.0
38382,1524,1762,13000,00020,0.0
52577,538,3180,3180,00020,2820.0
42926,8222,533,13000,00020,0.0
35079,9831,3718,7436,00020,564.0
42350,6829,6640,6640,00020,6360.0
16046,4806,12800,12800,00020,200.0
36927,2395,1256,13000,00020,0.0
32078,10994,2341,8000,00020,0.0
39206,3644,6375,12998,00020,2.0
42772,8587,1433,12897,00020,103.0
37333,7788,11300,11300,00020,1700.0
38090,7179,9121,9121,00020,3879.0
42622,9147,3105,12420,00020,580.0
41636,132,3650,7300,00020,700.0
29838,2636,11275,11275,00020,1725.0
44113,1028,2998,11992,00020,1008.0
30602,4557,3051,7994,00020,6.0
22039,8106,3054,5448,00020,7552.0
48979,10241,1282,7952,00020,48.0
19098,755,400,4036,00020,0.0
3341,3838,1275,12674,00020,326.0
28696,1678,6550,11950,00020,1050.0
49803,162,487,5974,00020,26.0
19895,6087,7402,12852,00020,148.0
28913,2869,3325,6650,00020,1350.0
11813,6662,9245,12362,00020,638.0
27212,1225,749,12987,00020,13.0
45712,9293,3361,6550,00020,6450.0
22854,3333,2644,7967,00020,33.0
25412,1150,1350,9825,00020,0.0
40845,5121,994,7993,00021,7.0
49792,160,399,6000,00021,0.0
32089,11008,7307,7307,00021,693.0
41637,132,3650,7300,00021,700.0
44114,1028,2998,11992,00021,1008.0
42349,6828,8650,8650,00021,4350.0
29837,2635,11275,11275,00021,1725.0
1324,7065,1627,13000,00021,0.0
28912,2869,3325,6650,00021,1350.0
25413,1150,677,9825,00021,0.0
24910,6005,2990,7680,00021,320.0
39964,7702,311,3601,00021,2399.0
27209,1224,749,13000,00021,0.0
52586,682,3379,3379,00021,2621.0
5975,8844,2234,8000,00021,0.0
42623,9147,3105,12420,00021,580.0
12295,3996,976,2462,00021,37.0
22131,8092,402,8676,00021,0.0
19882,6084,1913,13000,00021,0.0
38373,1523,1762,13000,00021,0.0
36928,2395,1256,13000,00021,0.0
3346,3849,10504,10504,00021,2496.0
38091,7180,9121,9121,00021,3879.0
11810,6661,9245,12417,00021,583.0
39222,3649,10500,10500,00021,2500.0
9766,1924,3501,11485,00021,7.0
42773,8587,1433,12897,00021,103.0
52571,532,3584,3584,00021,2416.0
22849,3332,2700,7982,00021,18.0
37332,7787,11300,11300,00022,1700.0
37653,1376,2505,8881,00022,0.0
42346,6823,10867,10867,00022,2133.0
22034,8104,3111,12986,00022,14.0
9767,1924,3501,11485,00022,7.0
3433,9688,2917,11668,00022,1332.0
40843,5120,575,8000,00022,0.0
31790,2502,1875,8243,00022,4046.0
19870,6083,2496,13000,00022,0.0
49796,161,487,6000,00022,0.0
42624,9147,3105,12420,00022,580.0
41634,131,3650,7300,00022,700.0
28997,2852,7400,7893,00022,107.0
3345,3848,10504,10504,00022,2496.0
22839,3330,2700,7998,00022,2.0
45711,9292,3361,10097,00022,2903.0
45417,10191,2637,10588,00022,2412.0
28612,1681,11275,11275,00022,1725.0
24573,2795,374,2392,00022,0.0
44115,1028,2998,11992,00022,1008.0
27210,1224,749,13000,00022,0.0
43448,199,835,7980,00022,20.0
42774,8587,1433,12897,00022,103.0
39221,3648,10500,10500,00022,2500.0
19091,753,2125,4055,00022,0.0
38355,1521,2744,13000,00022,0.0
16042,4795,7525,12976,00022,24.0
11819,6666,10012,10012,00022,2988.0
32087,11006,4086,7501,00022,499.0
49793,161,611,6000,00023,0.0
45415,10188,2817,2817,00023,5183.0
28611,1680,11275,11275,00023,1725.0
21804,9030,2921,13000,00023,0.0
21564,8330,5800,5800,00023,2200.0
37303,7768,3366,13000,00023,0.0
1212,9486,650,8000,00023,0.0
45695,9288,350,12300,00023,36.0
51812,172,574,1527,00023,4473.0
19881,6084,3496,13000,00023,0.0
33222,11058,6174,6174,00023,1826.0
42500,7652,489,6000,00023,0.0
37982,7185,9121,9121,00023,3879.0
3344,3847,10504,10504,00023,2496.0
42345,6821,11275,11275,00023,1725.0
22037,8105,3572,12649,00023,351.0
42767,8586,1433,12998,00023,2.0
14166,1285,348,13000,00023,0.0
16019,4792,5133,13000,00023,0.0
42619,9146,3105,12565,00023,435.0
44110,1027,2998,12836,00023,164.0
40839,5120,950,8000,00023,0.0
37666,1381,2905,10972,00023,2028.0
39216,3646,10500,12800,00023,200.0
9708,1880,3100,7994,00023,6.0
41642,137,3625,3625,00023,4375.0
28915,2870,3325,6650,00023,1350.0
36898,2400,4652,12927,00023,73.0
22901,3363,6375,6375,00023,1625.0
38386,1525,3041,12973,00023,27.0
9763,1923,2950,5055,00024,2945.0
42620,9146,3105,12565,00024,435.0
28914,2870,3325,6650,00024,1350.0
27211,1224,749,13000,00024,0.0
42344,6820,11275,11275,00024,1725.0
20161,2285,337,8000,00024,0.0
25446,1121,1824,7995,00024,5.0
22019,8099,2635,13000,00024,0.0
44118,1029,2918,11899,00024,1101.0
11816,6663,3866,11945,00024,1055.0
3343,3846,10504,10504,00024,2496.0
50768,885,256,4763,00024,0.0
42802,8588,1433,12897,00024,103.0
38092,7181,9121,9121,00024,3879.0
48362,8657,3016,5877,00024,2123.0
52572,533,3561,3561,00024,2439.0
35902,10844,2515,6192,00024,1808.0
14473,5511,6150,6150,00024,1850.0
21966,8983,1132,8000,00024,0.0
37331,7786,11300,11300,00024,1700.0
39182,3631,492,7919,00024,81.0
46564,58,2636,2636,00024,10364.0
36924,2393,1256,13000,00024,0.0
49794,161,611,6000,00024,0.0
45694,9288,2109,12300,00024,36.0
37652,1376,2745,8881,00024,0.0
6420,4964,2698,8000,00024,0.0
40840,5120,950,8000,00024,0.0
24901,6002,5990,7958,00024,42.0
19099,755,270,4036,00024,0.0
45413,10187,2817,5634,00024,2366.0
38366,1522,4395,13000,00024,0.0
37665,1380,2586,12997,00025,3.0
48913,10243,1395,2790,00025,5210.0
16961,10065,3677,12996,00025,4.0
44111,1027,2998,12836,00025,164.0
45414,10187,2817,5634,00025,2366.0
37981,7184,9121,9121,00025,3879.0
27200,1219,749,7113,00025,5887.0
3342,3845,10504,10504,00025,2496.0
35899,10843,2515,7545,00025,455.0
24877,5996,5765,8000,00025,0.0
45583,10381,2090,8000,00025,0.0
11808,6660,3866,12993,00025,7.0
49797,161,287,6000,00025,0.0
34121,5457,9775,9775,00025,3225.0
22033,8104,3597,12986,00025,14.0
36865,2392,847,13000,00025,0.0
50791,891,841,3819,00025,9181.0
40197,3672,3810,7569,00025,431.0
25439,1115,834,8000,00025,0.0
38372,1523,4391,13000,00025,0.0
19100,755,270,4036,00025,0.0
40841,5120,950,8000,00025,0.0
41635,131,3650,7300,00025,700.0
9712,1881,5994,7988,00025,12.0
52573,534,3536,3536,00025,2464.0
28922,1650,3081,7999,00025,1.0
42803,8588,1433,12897,00025,103.0
37330,7785,11300,11300,00025,1700.0
39940,7701,311,6000,00025,0.0
20069,2288,713,8000,00025,0.0
28907,2866,3325,6650,00026,1350.0
42487,7650,416,5598,00026,0.0
27201,1219,749,7113,00026,5887.0
42377,6814,915,7111,00026,889.0
22899,3362,4125,6825,00026,1175.0
44105,1026,2998,12998,00026,2.0
36889,2396,3072,12999,00026,1.0
46805,24,5242,13000,00026,0.0
48914,10243,1395,2790,00026,5210.0
41675,118,540,7991,00026,9.0
32092,11012,3210,6356,00026,1644.0
37980,7183,9121,9121,00026,3879.0
37329,7784,11300,11300,00026,1700.0
11802,6659,3866,12995,00026,5.0
42804,8588,1433,12897,00026,103.0
19113,768,1600,4900,00026,8100.0
41779,565,2408,5058,00026,1057.0
30033,8936,1567,7968,00026,32.0
34065,5441,146,8026,00026,0.0
40195,3671,3810,7620,00026,380.0
44796,1428,1134,7501,00026,5499.0
22035,8104,2938,12986,00026,14.0
24917,6010,5565,5565,00026,2435.0
28939,1663,2581,7743,00026,257.0
1504,7054,697,11856,00026,0.0
49795,161,611,6000,00026,0.0
50769,885,256,4763,00026,0.0
29802,2617,3325,6650,00026,1350.0
38385,1524,766,13000,00026,0.0
42614,9140,3085,13000,00026,0.0
40668,217,580,1924,00027,4076.0
41139,10697,2794,8000,00027,0.0
24889,6000,2565,7997,00027,3.0
42604,9137,746,13000,00027,0.0
34186,5441,146,8026,00027,0.0
37307,7772,4275,12988,00027,12.0
19904,6093,5892,11667,00027,1333.0
9921,1922,2950,5900,00027,2100.0
42805,8588,1433,12897,00027,103.0
50779,888,841,3548,00027,27.0
22130,8092,438,8676,00027,0.0
44109,1027,3018,12836,00027,164.0
43648,9056,3447,6894,00027,6106.0
41373,10402,2090,8000,00027,0.0
22897,3361,4125,6825,00027,1175.0
6329,8829,363,8000,00027,0.0
15891,4818,9870,11945,00027,1055.0
45411,10186,2817,5634,00027,2366.0
11803,6659,3866,12995,00027,5.0
40196,3671,3810,7620,00027,380.0
35900,10843,2515,7545,00027,455.0
27202,1219,749,7113,00027,5887.0
38093,7182,9121,9121,00027,3879.0
28996,2851,7400,7893,00027,107.0
37758,1554,984,6000,00027,0.0
29805,2618,3325,6650,00027,1350.0
42378,6814,915,7111,00027,889.0
49798,161,287,6000,00027,0.0
28938,1663,2581,7743,00027,257.0
19109,761,1925,10290,00027,2710.0
3330,3844,10504,10504,00027,2496.0
27203,1219,749,7113,00028,5887.0
42806,8588,1433,12897,00028,103.0
36905,2405,9931,9931,00028,3069.0
24884,5999,5715,7999,00028,1.0
42605,9137,746,13000,00028,0.0
26330,11101,2615,7845,00028,155.0
34187,5441,146,8026,00028,0.0
28394,3229,486,6000,00028,0.0
6126,8840,1494,8000,00028,0.0
19110,761,1925,10290,00028,2710.0
42381,6814,507,7111,00028,889.0
37306,7772,5825,12988,00028,12.0
44123,1032,2169,4862,00028,8138.0
22038,8105,3519,12649,00028,351.0
37748,1550,848,6000,00028,0.0
15888,4805,12800,12800,00028,200.0
17856,6962,808,12689,00028,311.0
9922,1922,2950,5900,00028,2100.0
35901,10843,2515,7545,00028,455.0
19906,6094,5696,11392,00028,1608.0
45416,10190,2658,4920,00028,87.0
3089,3834,3968,12992,00028,8.0
28937,1663,2581,7743,00028,257.0
37708,1361,379,2569,00028,1.0
28904,2865,3325,6650,00028,1350.0
43708,9053,3012,12917,00028,83.0
22895,3360,4125,6825,00028,1175.0
49799,161,287,6000,00028,0.0
40169,3664,4119,7995,00028,5.0
29804,2618,3325,6650,00028,1350.0
39965,7702,293,3601,00029,2399.0
43532,10325,779,3895,00029,6191.0
34209,5445,1300,13000,00029,0.0
38390,1526,2607,12131,00029,869.0
1508,7054,466,11856,00029,0.0
52570,531,3602,3602,00029,2398.0
41632,130,3650,7300,00029,700.0
40842,5120,950,8000,00029,0.0
43649,9056,3447,6894,00029,6106.0
22893,3359,4125,6825,00029,1175.0
29807,2619,3325,6650,00029,1350.0
28925,1651,2450,7997,00029,3.0
9919,1921,2950,5900,00029,2100.0
40158,3662,300,8000,00029,0.0
49800,161,287,6000,00029,0.0
37328,7783,11300,11300,00029,1700.0
32514,10633,2668,7980,00029,20.0
11786,6657,2063,13000,00029,0.0
27204,1219,749,7113,00029,5887.0
36904,2404,10072,10072,00029,2928.0
28905,2865,3325,6650,00029,1350.0
45396,10176,2245,8000,00029,0.0
19903,6092,5920,12081,00029,919.0
15878,4795,1875,12976,00029,24.0
10613,2194,469,6000,00029,0.0
15244,9930,2415,7948,00029,52.0
