NestID,Length,TotalLength,ItemNumber,RemainingLength
9055,3447,10341,00031,2659
9055,3447,10341,00039,2659
9055,3447,10341,00400,2659
9056,3447,6894,00027,6106
9056,3447,6894,00029,6106
9035,554,3458,01027,11
9035,554,3458,01028,11
9035,554,3458,01029,11
9035,554,3458,01030,11
9035,330,3458,01031,11
9036,75,1811,01032,4189
9038,556,6000,00563,0
9038,556,6000,00564,0
9038,556,6000,00567,0
9038,418,6000,00573,0
9038,343,6000,01286,0
9039,556,4552,00557,1448
9039,556,4552,00558,1448
9039,556,4552,00561,1448
9039,462,4552,00554,1448
9039,300,4552,01285,1448
9040,554,2836,00916,8
9040,416,2836,01159,8
9040,298,2836,00575,8
9041,691,2046,01068,33
9041,341,2046,01206,33
9042,416,757,01005,1311
9042,341,757,00574,1311
9043,554,2218,01055,257
9043,554,2218,01204,257
9044,508,1647,00058,1580
9044,317,1647,00228,1580
9045,1439,8402,00640,0
9045,1115,8402,00936,0
9045,596,8402,01033,0
9045,461,8402,01091,0
9047,2843,13000,00081,0
9047,2753,13000,00636,0
9047,1043,13000,00219,0
9047,797,13000,00397,0
9047,750,13000,01103,0
9047,596,13000,00924,0
9047,354,13000,01104,0
9048,1398,13000,00386,0
9048,1115,13000,00915,0
9048,1043,13000,00071,0
9048,1043,13000,00074,0
9048,880,13000,00068,0
9048,797,13000,00090,0
9048,256,13000,01075,0
9049,3563,12999,00066,1
9049,3097,12999,00053,1
9049,2763,12999,00390,1
9050,3447,12995,00079,5
9050,3447,12995,00084,5
9050,1043,12995,00065,5
9050,441,12995,01090,5
9051,3447,12964,00078,36
9051,3201,12964,00087,36
9051,3115,12964,00455,36
9052,3447,12938,00075,62
9052,3447,12938,00076,62
9052,2843,12938,00080,62
9053,3012,12917,00028,83
9057,556,556,00616,2497
9849,493,2328,03981,3672
9849,493,2328,04484,3672
9849,492,2328,03986,3672
9849,425,2328,03984,3672
9849,425,2328,03985,3672
9850,409,1636,04460,365
9850,409,1636,04461,365
9850,409,1636,04462,365
9850,409,1636,04463,365
9851,494,2467,04395,49
9851,494,2467,04401,49
9851,493,2467,00810,49
9851,493,2467,00811,49
9851,493,2467,04516,49
9852,164,164,04517,5836
9853,686,5727,02033,0
9853,686,5727,02036,0
9853,686,5727,02040,0
9853,686,5727,02042,0
9853,686,5727,02046,0
9853,304,5727,04492,0
9853,282,5727,04508,0
9853,282,5727,04509,0
9853,241,5727,01363,0
9853,241,5727,01364,0
9853,241,5727,01552,0
9853,241,5727,01638,0
9853,233,5727,03119,0
9853,232,5727,03547,0
9854,686,2381,02030,0
9854,347,2381,02085,0
9854,347,2381,02088,0
9854,347,2381,03978,0
9854,343,2381,02050,0
9854,311,2381,02077,0
9855,494,2190,04393,0
9855,349,2190,02054,0
9855,348,2190,03963,0
9855,348,2190,03964,0
9855,347,2190,02052,0
9855,304,2190,04491,0
9856,493,2176,03120,0
9856,469,2176,03883,0
9856,348,2176,02090,0
9856,348,2176,02091,0
9856,348,2176,02097,0
9856,170,2176,02198,0
9857,890,2166,03405,0
9857,805,2166,04483,0
9857,471,2166,02065,0
9858,890,2166,03402,0
9858,348,2166,02048,0
9858,348,2166,02049,0
9858,348,2166,02055,0
9858,232,2166,03546,0
9859,992,8000,04485,0
9859,992,8000,04488,0
9859,888,8000,01253,0
9859,686,8000,02024,0
9859,686,8000,02027,0
9859,470,8000,02094,0
9859,470,8000,02095,0
9859,470,8000,02096,0
9859,470,8000,03880,0
9859,469,8000,02078,0
9859,469,8000,02083,0
9859,469,8000,02084,0
9859,469,8000,02089,0
9860,2095,8000,03403,0
9860,1816,8000,02035,0
9860,1138,8000,02069,0
9860,919,8000,02070,0
9860,686,8000,02021,0
9860,632,8000,02044,0
9860,367,8000,02087,0
9860,347,8000,02017,0
9861,5088,8000,02045,0
