NestID,Length,TotalLength,ItemNumber,RemainingLength
10261,349,4983,02551,0
10261,349,4983,02545,0
10261,343,4983,02541,0
10261,333,4983,02552,0
10261,333,4983,02544,0
10261,328,4983,00110,0
10261,308,4983,00232,0
10261,292,4983,03449,0
10261,292,4983,03758,0
10261,165,4983,03757,0
10261,158,4983,00112,0
10261,139,4983,00234,0
10261,138,4983,00235,0
10261,137,4983,00262,0
10262,506,8000,03242,0
10262,506,8000,03256,0
10262,506,8000,03257,0
10262,506,8000,03258,0
10262,492,8000,03882,0
10262,492,8000,04032,0
10262,492,8000,04033,0
10262,481,8000,03233,0
10262,481,8000,03236,0
10262,469,8000,03450,0
10262,455,8000,03952,0
10262,389,8000,02559,0
10262,385,8000,02543,0
10262,375,8000,02550,0
10262,375,8000,02546,0
10262,365,8000,02560,0
10262,351,8000,02561,0
10262,215,8000,UG21-0582-P,0
10262,159,8000,00111,0
10263,1099,8000,03020,0
10263,1075,8000,UG21-0008-P,0
10263,930,8000,03335,0
10263,738,8000,03484,0
10263,733,8000,03503,0
10263,644,8000,03510,0
10263,628,8000,03755,0
10263,506,8000,03736,0
10263,506,8000,03738,0
10263,492,8000,02665,0
10263,492,8000,03111,0
10263,157,8000,00113,0
10264,1099,8000,03025,0
10264,916,8000,UG21-0589-P,0
10264,915,8000,UG21-0612-S,0
10264,768,8000,UG21-0620-S,0
10264,768,8000,UG21-0621-S,0
10264,768,8000,UG21-0591-P,0
10264,768,8000,UG21-0596-P,0
10264,768,8000,UG21-0597-P,0
